code,name,MV(2022-12-31),"
REV (2022 Annual Report)"
000166.SZ,申万宏源,99658979349,20609644632
000686.SZ,东北证券,15212943948,5077439948
000712.SZ,锦龙股份,11594240000,247388579.9
000728.SZ,国元证券,27622714050,5341049975
000750.SZ,国海证券,18130269962,3616665498
000776.SZ,广发证券,1.18E+11,25132014418
000783.SZ,长江证券,29474674061,6371577006
002500.SZ,山西证券,19025789199,4160555009
002670.SZ,国盛金控,14338977279,1894007280
002673.SZ,西部证券,27219752583,5308429920
002736.SZ,国信证券,85358372868,15875768262
002797.SZ,第一创业,23659512000,2611358645
002926.SZ,华西证券,19766250000,3375583530
002939.SZ,长城证券,33405055196,3126774196
002945.SZ,华林证券,35586000000,1397680839
600030.SH,中信证券,2.95E+11,65108507999
600061.SH,国投资本,41057704401,17135577447
600109.SH,国金证券,32401925997,5733079420
600155.SH,华创云信,14699253673,2532029643
600369.SH,西南证券,24919159215,1786841809
600621.SH,华鑫股份,10959089686,2443237888
600837.SH,海通证券,1.14E+11,25948187501
600864.SH,哈投股份,9778681444,2562150306
600906.SH,财达证券,24564650000,1643675417
600909.SH,华安证券,21562270788,3159051129
600918.SH,中泰证券,44668891096,9324533356
600958.SH,东方证券,75960008910,18728628980
600999.SH,招商证券,1.16E+11,19219229959
601066.SH,中信建投,1.84E+11,27565197902
601099.SH,太平洋,17517933071,1172256511
601108.SH,财通证券,33063370423,4826749563
601136.SH,首创证券,47614674796,1587858079
601162.SH,天风证券,24870723922,1720988733
601198.SH,东兴证券,24954479414,3429193721
601211.SH,国泰君安,1.21E+11,35471284791
601236.SH,红塔证券,34904229291,836168832.9
601375.SH,中原证券,16900100308,1881047259
601377.SH,兴业证券,49570567068,10659638031
601456.SH,国联证券,31857448140,2622939104
601555.SH,东吴证券,32698992311,10485698669
601688.SH,华泰证券,1.16E+11,32031562088
601696.SH,中银证券,29363460000,2959272537
601788.SH,光大证券,68562412192,10779684709
601878.SH,浙商证券,38510216134,16814110329
601881.SH,中国银河,94175308672,33641993400
601901.SH,方正证券,52520806900,7776967803
601990.SH,南京证券,29232843000,2008126720
601995.SH,中金公司,1.84E+11,26087369813
